Abbrev,Full Title,Abstract,Zenodo DOI,GitHub_Public,Worth_Patent,Patent_Strategy_Role
MS-DRIFT,"A Modal Shell for Drift: Idiom, Necessity, and Invariant Transport",Defines a modal shell operator for drift processes. Introduces necessity modalities and invariant-preservation rules. Proves theorems of transport under idiom projection., ,No,No,Not applicable
SC-QF,From Sets and Categories to Quotient Flows,"We formulate a program that treats a broad class of discrete dynamical 'universes' as definable in multiple idioms—set–theoretic, category–theoretic, and quotient–flow. The spine is a modal shell with idiom-necessity operators, strengthened with idiom projections, Fisher–information transport, and ergodic–metric drift. Application: BA–FRC public-state model.", ,No,No,Not applicable
QFI-P,Quotient Flow Invariant — Primitives,"Defines the primitives of the QFI schema. Formalizes invariance conditions, monotonicity, and lumpability. Proves that QFI primitives form a universal backbone across idioms.", ,No,No,"Not independently patentable, but key supporting role in the QFI patent family. Provides invariant schema, spectral instrumentation, or drift/flow extensions. Should be referenced in broader system claims to strengthen enforceability."
QFI-SM,Quotient Flow Invariant — Spectral / Murphy,Builds the computable instrumentation layer atop the QFI program. Constructs a spectral–tilt calculus for path costs; defines the cumulant generating function Λ(t). Introduces Murphy horizons Lc and proves contraction lemmas. Justifies Action–Betweenness centrality as a QFI instance., ,No,No,"Not independently patentable, but key supporting role in the QFI patent family. Provides invariant schema, spectral instrumentation, or drift/flow extensions. Should be referenced in broader system claims to strengthen enforceability."
QFI-DF,Quotient Flow Invariant — Drift / Flow,"Extends the QFI schema to drift and flow processes. Defines drift metrics, ergodic stability, and transport of invariants. Demonstrates applications to stochastic process translation.", ,No,No,"Not independently patentable, but key supporting role in the QFI patent family. Provides invariant schema, spectral instrumentation, or drift/flow extensions. Should be referenced in broader system claims to strengthen enforceability."
THEIA,The Theia Protocol,"Introduces the Theia protocol for native L-data efficiency amplification. Defines protocol stages for latent state transmission, privacy safeguards, and efficiency proofs under worldline rehydration.", ,No,No,Not applicable
LEAF-MOD,Leaf Mode,Introduces 'Leaf Mode' as a structural simplification of branching processes. Defines conditions under which leaves stabilize worldline exploration. Provides proofs for reduced computational complexity under leaf-anchored modes., ,No,No,Not applicable
V-GATE,V–Gate (Nightlight: Recovering Harm Surface Normals from Failure Patterns),Presents the V–Gate operator for recovering harm-surface normals from observed failure patterns. Defines gating functions that stabilize inference under sign-flip volatility. Demonstrates empirical recovery of latent orientations., ,No,No,Not applicable
TC-LSE,The Turing Completeness of Latent Space Exploration,"We argue that exploration of sufficiently expressive latent spaces, equipped with a minimal set of traversal and composition operators, is computationally universal. Once viability thresholds are crossed, latent space exploration achieves Turing completeness. We propose a three-factor model (context horizon, lexical manifold, interior dimensionality) as practical determinants.", ,No,No,Not applicable
NRS,Non-Reversability Selector,Defines the non-reversability selector as an operator for detecting irreversible trajectories in latent flows. Proves selector properties and shows its utility for pruning infeasible worldlines., ,Yes,No,Not applicable
V-GATE,V–Gate (Nightlight: Recovering Harm Surface Normals from Failure Patterns),Presents the V–Gate operator for recovering harm-surface normals from observed failure patterns. Defines gating functions that stabilize inference under sign-flip volatility. Demonstrates empirical recovery of latent orientations., ,No,No,Not applicable
TC-LSE,The Turing Completeness of Latent Space Exploration,"We argue that exploration of sufficiently expressive latent spaces, equipped with a minimal set of traversal and composition operators, is computationally universal. Once viability thresholds are crossed, latent space exploration achieves Turing completeness. We propose a three-factor model (context horizon, lexical manifold, interior dimensionality) as practical determinants.", ,No,No,Not applicable
NRS,Non-Reversability Selector,Defines the non-reversability selector as an operator for detecting irreversible trajectories in latent flows. Proves selector properties and shows its utility for pruning infeasible worldlines., ,Yes,No,Not applicable
PA-MIPD,Predicting Atavisms: Morphological Invariance & Path Dependents,Theorem 1 (Predictable Atavism Law). Suppose m is shallow and the substrate trajectory intersects V(m)… with probability one there exists t⋆ such that a realized shell St⋆ implements m up to bounded morphological distance and persists. The contingency of first identity follows from comparing crossing times and frictions. The recurrence of shallow morphs is law-like.,,No,No,Not applicable
INEV-ENG,The Inevitability Engine: A Unified Theory of Cognitive Gravity,"Defines the Inevitability Engine (IE) as a schema unifying cognitive gravity across idioms. Shows that IE = QFI schema; all idioms/realities are instantiations. Frames MUH+ as falsifiable. Highlights predictions and bridges across physics, computation, consciousness, and uncertainty.", ,No,No,Not applicable
LA-TYPED,"A Typed, Contract-Indexed, Graded Effect Calculus: Compositional Safety, Quotient Invariance, and Schedulable Discovery","We present a typed, contract-indexed, graded effect calculus that makes safety a compile-time property and time-to-discovery a schedulable runtime guarantee. We give typing rules, grade algebra, and contract propagation; prove progress/preservation and effect soundness; and show a correctness theorem that well-typed programs compile to kernels satisfying indicated σ-contracts.", ,No,No,Not applicable
MT-SC,Measure-Theoretic Compile-Time Safety Contracts for Decision Kernels and an Ergodic 'Murphy Clock',"We introduce measure-theoretic compile-time safety contracts for decision kernels. Defines σ-safety contracts, inversion guardrails, and Murphy clocks as hazard indices. Proves soundness and schedulability theorems, demonstrating compile-time enforceability of runtime safety properties.", ,No,No,Not applicable
INEV-ENG,The Inevitability Engine: A Unified Theory of Cognitive Gravity,"Defines the Inevitability Engine (IE) as a schema unifying cognitive gravity across idioms. Shows that IE = QFI schema; all idioms/realities are instantiations. Frames MUH+ as falsifiable. Highlights predictions and bridges across physics, computation, consciousness, and uncertainty.", ,No,No,Not applicable
LA-TYPED,"A Typed, Contract-Indexed, Graded Effect Calculus: Compositional Safety, Quotient Invariance, and Schedulable Discovery","We present a typed, contract-indexed, graded effect calculus that makes safety a compile-time property and time-to-discovery a schedulable runtime guarantee. We give typing rules, grade algebra, and contract propagation; prove progress/preservation and effect soundness; and show a correctness theorem that well-typed programs compile to kernels satisfying indicated σ-contracts.", ,No,No,Not applicable
MT-SC,Measure-Theoretic Compile-Time Safety Contracts for Decision Kernels and an Ergodic 'Murphy Clock',"We introduce measure-theoretic compile-time safety contracts for decision kernels. Defines σ-safety contracts, inversion guardrails, and Murphy clocks as hazard indices. Proves soundness and schedulability theorems, demonstrating compile-time enforceability of runtime safety properties.", ,No,No,Not applicable
